id,tipo,titulo,descricao,autor,data,duracao,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
video-uuKm0TkahO8,video,"PAULO DE TARSO, O HOMEM E A OBRA",,Denizart Silveira,2025-12-28,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=uuKm0TkahO8,uuKm0TkahO8,https://img.youtube.com/vi/uuKm0TkahO8/hqdefault.jpg,pendente,,,,,
video-cnYL_KIIpvs,video,SUAVE MILAGRE,,JOGRAL ARTE REAL,2026-01-04,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=cnYL_KIIpvs,cnYL_KIIpvs,https://img.youtube.com/vi/cnYL_KIIpvs/hqdefault.jpg,pendente,,,,,
video-nTZZzcXghw0,video,https://youtu.be/nTZZzcXghw0 O DESBASTE DA PEDRA BRUTA ATRAVÉS DA MENTORIA & PNL,,Ênio Carvalho,2026-01-11,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=nTZZzcXghw0,nTZZzcXghw0,https://img.youtube.com/vi/nTZZzcXghw0/hqdefault.jpg,pendente,,,,,
video-XD2xEYPenKo,video,SINTONIA E HARMONIA,,Manuel de Magalhães Pereira,2026-01-18,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=XD2xEYPenKo,XD2xEYPenKo,https://img.youtube.com/vi/XD2xEYPenKo/hqdefault.jpg,pendente,,,,,
video-mBK6hZjptms,video,NAPOLEÃO BONAPARTE E SUA INFLUÊNCIA NA MAÇONARIA,,Silvério Ribeiro,2026-01-25,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=mBK6hZjptms,mBK6hZjptms,https://img.youtube.com/vi/mBK6hZjptms/hqdefault.jpg,pendente,,,,,
video-DYawOefLhy8,video,REVOLUÇÃO PERNAMBUCANA DE 1817 - Mario Vasconcelos - 1º/02/2026,,EpaminondasOnline  https://youtu.be/DYawOefLhy8,,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=DYawOefLhy8,DYawOefLhy8,https://img.youtube.com/vi/DYawOefLhy8/hqdefault.jpg,pendente,,,,,
video-TIOxltZED-o,video,FILOSOFIA PERENE - 1ª PARTE,,Roberto Zardo,2026-02-08,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=TIOxltZED-o,TIOxltZED-o,https://img.youtube.com/vi/TIOxltZED-o/hqdefault.jpg,pendente,,,,,
video-u0TEcnL1aio,video,OS GRAUS DA MARCA E NAUTA,,Domingos Léo Monteiro,2025-02-15,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=u0TEcnL1aio,u0TEcnL1aio,https://img.youtube.com/vi/u0TEcnL1aio/hqdefault.jpg,pendente,,,,,
video-SVEjcwt8cfw,video,DA VASTIDÃO DA TERRA AO UNIVERSO DOS ARES,,Geraldo Ribeiro da Fonseca,2025-02-22,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=SVEjcwt8cfw,SVEjcwt8cfw,https://img.youtube.com/vi/SVEjcwt8cfw/hqdefault.jpg,pendente,,,,,
video-hMuOHjGueRc,video,"VIDA E OBRA DE ""XICO TROLHA"" - Fuad Haddad - 1º/03/2026",,EpaminondasOnline https://youtu.be/hMuOHjGueRc,,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=hMuOHjGueRc,hMuOHjGueRc,https://img.youtube.com/vi/hMuOHjGueRc/hqdefault.jpg,pendente,,,,,
