id,tipo,titulo,descricao,autor,data,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
video-u023,video,O Mito de Sísifo e o Aperfeiçoamento Maçônico,Sessão de estudos do Grupo de Estudos Urânia.,,2026-01-31,Grupo de Estudos Urânia,,,,instrumentos; filosofia,https://www.youtube.com/watch?v=zOPDrjVqHuo,zOPDrjVqHuo,https://img.youtube.com/vi/zOPDrjVqHuo/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1qUIbMGLNVJxS98I21fvz-7x5pudJz6gs/view
video-u024,video,As Colunas Zodiacais no Templo Maçônico,Sessão de estudos do Grupo de Estudos Urânia.,,2026-01-24,Grupo de Estudos Urânia,,,,instrumentos; simbolismo,https://www.youtube.com/watch?v=fgJAQ3Opq2M,fgJAQ3Opq2M,https://img.youtube.com/vi/fgJAQ3Opq2M/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1kLXl0dnA0H11bakg3nwod2O0zBXR9Idy/view
video-u025,video,Para quê Moral?!?,Sessão de estudos do Grupo de Estudos Urânia.,Márcio Silva,2026-01-17,Grupo de Estudos Urânia,,,,ética,https://www.youtube.com/watch?v=9Qo0kLPA00Y,9Qo0kLPA00Y,https://img.youtube.com/vi/9Qo0kLPA00Y/hqdefault.jpg,pendente,publico,,Rogério,,
video-u026,video,"É Natal, e então?",Sessão de estudos do Grupo de Estudos Urânia.,Paulo Careta,2025-12-20,Grupo de Estudos Urânia,,,,estudo maçônico,https://www.youtube.com/watch?v=adQza9RXoSc,adQza9RXoSc,https://img.youtube.com/vi/adQza9RXoSc/hqdefault.jpg,pendente,publico,,Rogério,,
video-u027,video,O Papel das Comissões no Cotidiano de uma Loja Maçônica — Parte 1,Sessão de estudos do Grupo de Estudos Urânia.,,,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=gFZCwC40-Zc,gFZCwC40-Zc,https://img.youtube.com/vi/gFZCwC40-Zc/hqdefault.jpg,pendente,publico,,Rogério,,
video-u028,video,O Papel das Comissões no Cotidiano de uma Loja Maçônica — Parte 2,Sessão de estudos do Grupo de Estudos Urânia.,,,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=W9EPXfH4AxQ,W9EPXfH4AxQ,https://img.youtube.com/vi/W9EPXfH4AxQ/hqdefault.jpg,pendente,publico,,Rogério,,
video-u029,video,Despojando-se dos metais: uma jornada de humildade,Sessão de estudos do Grupo de Estudos Urânia.,,2025-12-06,Grupo de Estudos Urânia,,,,estudo maçônico,https://www.youtube.com/watch?v=EPktXJI2530,EPktXJI2530,https://img.youtube.com/vi/EPktXJI2530/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1DvCnubiF6XRysxYq_ClTU71mGGDYxA4t/view
video-u030,video,O Livro da Lei: Luz Moral e Fundamento da Maçonaria,Sessão de estudos do Grupo de Estudos Urânia.,,2025-11-29,Grupo de Estudos Urânia,,,,ética; instrumentos,https://www.youtube.com/watch?v=NGNGVlokm-0,NGNGVlokm-0,https://img.youtube.com/vi/NGNGVlokm-0/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1kQCrRws5bKvVzNOofvMz0BClxAVAEr3-/view
video-u031,video,Maçonaria hoje: estamos cultivando União ou Desunião Grupo de Estudos Urânia,Sessão de estudos do Grupo de Estudos Urânia.,,2025-11-22,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=pCS_GHeDlNg,pCS_GHeDlNg,https://img.youtube.com/vi/pCS_GHeDlNg/hqdefault.jpg,pendente,publico,,Rogério,,
video-u032,video,A Cisão de 1927,Sessão de estudos do Grupo de Estudos Urânia.,Roberto Souza Gonzalez,2025-11-15,Grupo de Estudos Urânia,,,,história,https://www.youtube.com/watch?v=VvbEsQK8U58,VvbEsQK8U58,https://img.youtube.com/vi/VvbEsQK8U58/hqdefault.jpg,pendente,publico,,Rogério,,
